Row,Column,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],Compound,Concentration,Cell Type,Cell Count,Nuclei Border - Nuclei,Nuclei Border - Nucleus Area [µm²],Nuclei Border - Nucleus Roundness,Nuclei Border - Nucleus Width [µm],Nuclei Border - Nucleus Length [µm],Nuclei Border - Nucleus Ratio Width to Length,Unnamed: 20,Group
2,2,0,6,3,630,63,"[588,1,702,132]",-185.84,1111.51,,,,,1,45.3099,0.853221,4.88694,9.68011,0.504844,,Ad
2,2,0,6,4,1047,51,"[1001,1,1078,115]",-112.3,1113.23,,,,,1,42.0593,0.900811,5.83939,8.43696,0.69212,,Ad
2,2,0,6,5,953,76,"[911,23,1001,141]",-128.62,1109.13,,,,,1,24.8441,0.944811,4.63616,6.19495,0.748378,,Ad
2,2,0,6,6,18,121,"[1,76,39,216]",-300.92,1098.08,,,,,0,26.6021,0.690757,3.43634,9.91205,0.346683,,Ad
2,2,0,6,7,452,110,"[387,39,527,200]",-219.99,1101.62,,,,,1,30.4498,0.97735,5.17698,7.11223,0.727898,,Ad
2,2,0,6,8,939,328,"[879,118,1056,363]",-127.98,1076.14,,,,,1,25.1095,0.975365,4.74926,5.97417,0.794966,,Ad
2,2,0,6,9,27,396,"[1,283,55,440]",-299.15,1057.23,,,,,0,49.5556,0.646297,4.02329,15.1865,0.264926,,Ad
2,2,0,6,10,687,482,"[643,443,714,529]",-179.65,1035.22,,,,,1,28.2275,0.946117,4.50554,6.89436,0.653511,,Ad
2,2,0,6,11,434,547,"[381,508,469,594]",-225.34,1022.32,,,,,1,48.5937,0.818558,4.26345,13.19,0.323234,,Ad
2,2,0,6,12,683,572,"[654,518,743,618]",-177.0,1020.87,,,,,1,45.8406,0.851788,5.11251,10.6477,0.48015,,Ad
2,2,0,6,13,356,641,"[329,601,383,671]",-238.51,1007.19,,,,,1,26.6685,0.937323,4.43131,6.11953,0.724126,,Ad
2,2,0,6,14,627,656,"[538,614,678,709]",-192.71,1002.06,,,,,1,32.2078,0.912999,4.44625,7.83352,0.567593,,Ad
2,2,0,6,15,823,962,"[765,930,854,1027]",-155.12,946.37,,,,,1,35.956,0.896263,4.40127,9.28662,0.473936,,Ad
2,2,0,6,16,67,975,"[40,951,165,1016]",-285.97,944.3,,,,,1,24.1476,0.991638,4.60746,5.90997,0.779607,,Ad
2,2,0,6,17,629,993,"[594,970,651,1032]",-189.1,941.36,,,,,1,33.9658,0.952024,5.30358,7.16104,0.740616,,Ad
2,2,0,6,18,1017,985,"[974,938,1078,1078]",-116.62,940.56,,,,,0,30.7484,0.918086,4.43131,6.94231,0.638305,,Ad
